Frame Index,Time (s),Position (ticks),Velocity (t/s),Current (mA),PWM
201,4.8994521484375,3593,999,-1,117
202,4.962052734375,3652,996,-1,119
203,4.9832919921875,3672,995,-1,119
204,5.00429296875,3692,994,-1,119
205,5.04634033203125,3732,1003,-1,118
206,5.0674921875,3753,1002,-1,119
207,5.078301513671875,3772,997,-1,118
208,5.120858154296875,3813,1001,-1,119
209,5.141911376953125,3832,995,-1,118
210,5.16325732421875,3853,1000,-1,118
211,5.184658447265625,3873,1008,-1,116
212,5.205957275390625,3893,1001,-1,119
213,5.2267333984375,3913,1001,-1,118
214,5.24769140625,3933,996,-1,119
215,5.258477783203125,3952,995,-1,118
216,5.30057958984375,3992,1005,-1,118
217,5.3213359375,4013,997,-1,118
218,5.342260009765625,4032,1003,-1,118
219,5.3843056640625,4072,996,-1,118
220,5.405650634765625,4092,1000,-1,118
221,5.426422607421875,4113,1003,-1,118
222,5.447376953125,4134,1005,-1,117
223,5.468158935546875,4154,1000,-1,119
224,5.510260986328125,4194,998,-1,119
225,5.520902587890625,4214,1000,-1,118
226,5.5418701171875,4234,1001,-1,118
227,5.56267236328125,4253,1005,-1,118
228,5.604814208984375,4293,993,-1,118
229,5.62556396484375,4314,995,-1,118
230,5.646877685546875,4333,998,-1,118
231,5.66837744140625,4354,999,-1,119
232,5.679397705078125,4373,1008,-1,119
233,5.71063720703125,4394,999,-1,119
234,5.72134765625,4413,999,-1,119
235,5.742321533203125,4434,993,-1,119
236,5.763188720703125,4454,997,-1,119
237,5.80546923828125,4495,998,-1,119
238,5.826251953125,4514,1002,-1,118
239,5.847237060546875,4535,996,-1,119
240,5.868055908203125,4554,1001,-1,118
241,5.9102080078125,4594,999,-1,119
242,5.93096630859375,4615,998,-1,119
243,5.952001708984375,4636,1000,-1,118
244,5.96286474609375,4656,996,-1,119
245,6.005009765625,4696,998,-1,119
246,6.025794189453125,4715,1000,-1,118
247,6.046754150390625,4736,1004,-1,117
248,6.067569580078125,4755,1003,-1,118
249,6.109667724609375,4795,1000,-1,119
250,6.13046826171875,4816,998,-1,119
251,6.151430419921875,4836,1003,-1,119
252,6.162158935546875,4856,1003,-1,118
253,6.204353515625,4895,1005,-1,120
254,6.22513720703125,4916,999,-1,119
255,6.2461123046875,4936,999,-1,118
